CULTIVAR,CLASS,Exp,GERM,SL,RL,TL,SDM,RDM,TDM
5G 830 RR,Drought,4,100,4.4,8.6,13.0,6.7,11.4,18.1
95R51,Drought,1,80,3.6,11.5,15.1,5.2,16.2,21.4
95R51,Drought,2,84,3.4,13.3,16.7,4.4,13.8,18.2
95R51,Drought,3,84,3.1,10.6,13.7,4.1,13.7,17.8
95R51,Drought,4,84,3.5,8.1,11.6,5.1,11.7,16.8
97R21,Drought,1,92,3.5,13.8,17.3,3.6,15.4,19.0
97R21,Drought,2,84,2.7,16.0,18.7,4.2,18.0,22.2
97R21,Drought,3,88,2.1,15.6,17.7,4.3,17.6,21.9
97R21,Drought,4,96,2.7,12.9,15.6,4.7,13.9,18.6
97R50 IPRO,Drought,1,92,3.50,16.50,20.00,3.97,20.84,24.8
97R50 IPRO,Drought,2,88,3.76,16.90,20.66,5.40,21.99,27.4
97R50 IPRO,Drought,3,88,4.00,15.30,19.30,5.40,19.78,25.2
97R50 IPRO,Drought,4,81,4.03,13.40,17.43,6.20,21.27,27.5
97R73 RR,Drought,1,92,2.8,12.5,15.3,3.8,18.2,22.0
97R73 RR,Drought,2,96,2.3,13.6,15.9,3.6,19.7,23.2
97R73 RR,Drought,3,92,2.2,13.2,15.4,3.7,21.7,25.4
97R73 RR,Drought,4,96,2.6,14.3,16.9,3.4,20.8,24.2
98R31 IPRO,Drought,1,92,3.49,16.70,20.19,6.34,20.85,27.2
98R31 IPRO,Drought,2,92,4.00,15.00,19.00,5.35,18.70,24.1
98R31 IPRO,Drought,3,92,3.49,16.60,20.09,5.52,19.48,25.0
98R31 IPRO,Drought,4,92,3.23,14.45,17.68,5.45,22.13,27.6
98R35 IPRO,Drought,1,84,7.38,14.50,21.88,5.98,18.03,24.0
98R35 IPRO,Drought,2,92,7.13,12.90,20.03,7.74,14.54,22.3
98R35 IPRO,Drought,3,88,8.06,14.40,22.46,8.03,15.01,23.0
98R35 IPRO,Drought,4,88,8.60,13.10,21.70,7.82,16.08,23.9
AS 3575 IPRO,Drought,1,100,4.6,17.5,22.1,6.4,17.9,24.3
AS 3575 IPRO,Drought,2,100,4.9,16.6,21.5,6.7,20.9,27.6
AS 3575 IPRO,Drought,3,100,4.4,17.4,21.8,6.6,22.3,28.9
AS 3575 IPRO,Drought,4,100,4.3,16.4,20.7,6.6,21.1,27.7
AS 3610 IPRO,Drought,1,100,4.7,15.5,20.2,6.8,15.3,22.1
AS 3610 IPRO,Drought,2,96,4.9,16.4,21.3,6.9,22.0,28.9
AS 3610 IPRO,Drought,3,96,5.6,15.5,21.1,6.8,17.5,24.3
AS 3610 IPRO,Drought,4,96,5.4,11.6,17.0,7.0,17.0,23.9
BMX Bonus IPRO,Drought,1,88,3.23,12.85,16.08,6.74,19.22,26.0
BMX Bonus IPRO,Drought,2,88,3.23,14.35,17.58,5.38,20.98,26.4
BMX Bonus IPRO,Drought,3,84,2.42,13.75,16.17,5.69,20.40,26.1
BMX Bonus IPRO,Drought,4,88,2.96,13.90,16.86,6.02,21.12,27.1
BMX Desafio RR,Drought,1,94,5.4,12.4,17.8,7.4,20.8,28.2
